Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	10	10.68515	-84.18112	24	11	2011
Ara macao	Alajuela	8	10.68515	-84.18112	18	6	2013
Ara macao	Alajuela	4	10.68515	-84.18112	28	12	2013
Ara macao	Alajuela	10	10.77547	-84.19338	18	5	2013
Ara macao	Alajuela	1	10.686364	-84.20616	24	2	2013
Ara macao	Alajuela	2	10.686364	-84.20616	9	3	2012
Ara macao	Alajuela	2	10.686364	-84.20616	10	3	2012
Ara macao	Alajuela	1	10.686364	-84.20616	24	2	2013
Ara macao	Alajuela	2	10.68515	-84.18112	22	2	2013
Ara macao	Alajuela	5	10.68515	-84.18112	11	2	2013
Ara macao	Alajuela	2	10.68515	-84.18112	12	2	2013
Ara macao	Alajuela	1	10.68515	-84.18112	30	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	21	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	26	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	15	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	12	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	12	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	20	1	2013
Ara macao	Alajuela	2	10.68515	-84.18112	16	2	2010
Ara macao	Alajuela	2	10.686364	-84.20616	31	3	2012
Ara macao	Alajuela	2	10.686364	-84.20616	2	4	2012
Ara macao	Alajuela	14	10.68515	-84.18112	8	9	2012
Ara macao	Alajuela	4	10.686364	-84.20616	1	4	2012
Ara macao	Alajuela	3	10.68515	-84.18112	7	9	2012
Ara macao	Alajuela	2	10.68515	-84.18112	19	12	2012
Ara macao	Alajuela	6	10.78593	-84.19184	20	12	2012
Ara macao	Alajuela	6	10.68515	-84.18112	29	4	2011
Ara macao	Alajuela	8	10.68515	-84.18112	28	4	2011
Ara macao	Alajuela	1	10.6767	-84.2238	17	7	2010
Ara macao	Alajuela	6	10.68515	-84.18112	19	7	2010
Ara macao	Alajuela	1	10.68515	-84.18112	20	7	2010
Ara macao	Alajuela	8	10.68515	-84.18112	15	3	2011
Ara macao	Alajuela	6	10.686364	-84.20616	8	3	2011
Ara macao	Alajuela	4	10.686364	-84.20616	19	11	2011
Ara macao	Alajuela	10	10.68515	-84.18112	24	11	2011
Ara macao	Alajuela	12	10.686364	-84.20616	17	11	2011
Ara macao	Alajuela	2	10.711517	-84.206795	14	3	2011
Ara macao	Alajuela	8	10.68515	-84.18112	15	3	2011
Ara macao	Alajuela	2	10.686364	-84.20616	14	3	2011
Ara macao	Alajuela	12	10.686364	-84.20616	26	7	2011
Ara macao	Alajuela	2	10.68515	-84.18112	26	1	2011
Ara macao	Alajuela	2	10.711517	-84.206795	14	3	2011
Ara macao	Alajuela	2	10.686364	-84.20616	14	3	2011
Ara macao	Alajuela	6	10.686364	-84.20616	15	2	2011
Ara macao	Alajuela	2	10.748993	-84.1951	25	11	2011
Ara macao	Alajuela	2	10.68515	-84.18112	16	3	2011
Ara macao	Alajuela	2	10.68515	-84.18112	16	3	2011
Ara macao	Alajuela	6	10.68515	-84.18112	19	7	2010
Ara macao	Alajuela	1	10.68515	-84.18112	20	7	2010
Ara macao	Alajuela	2	10.686364	-84.20616	18	10	2010
Ara macao	Alajuela	4	10.68515	-84.18112	15	7	2010
Ara macao	Alajuela	4	10.68515	-84.18112	14	7	2010
Ara macao	Alajuela	4	10.68515	-84.18112	2	7	2010
Ara macao	Alajuela	3	10.686364	-84.20616	4	12	2010
Ara macao	Alajuela	1	9.902599	-84.596164	21	12	2021
Ara macao	Alajuela	1	10.678485	-84.229873	16	7	2024
Ara macao	Alajuela	1	10.442538	-84.261103	28	1	2023
Ara macao	Alajuela	2	10.675379	-84.234905	14	11	2023
Ara macao	Alajuela	7	10.680923	-84.206127	26	1	2024
Ara macao	Alajuela	14	10.683008	-84.205381	1	3	2024
